//Key	中文
	//Translator Info 此处输入翻译者信息 使用\r\n表示换行符，\t表示跳格字符
TranslatorInfo	当前语言翻译者：LiQiDiS (liqidis@hotmail.com)\r\n网址：http://www.liqidis.com

//Main Menu	
//ScanPage 扫描页面	
ScanPage	&P.扫描页面
BatchScanMultipleLinks	&B.批量扫描地址列表…
StartScan	&S.开始扫描
StopScan	&O.停止扫描
Exploit	&E.利用...
EditPageDOM	&D.编辑页面DOM

//ScanSite	
ScanSite	&S.扫描站点
ScanSensitiveFiles	&F.扫描敏感文件...
ScanOrdialFiles	&O.扫描序列文件...
SiteCrawler	&C.站点爬行器...

//Codec	
Codec	&C.编码解码
URLCodecer	&U.URL编码解码器...
MD5	&M.MD5
MD5Codecer	MD5编码解码器...
MD5BatchLookUp	MD5批量破解器...
MD5LookupEngines	设置MD5破解引擎...
BASE64Codecer	&B.BASE64编码解码器...
SQLVarCharEncoder	&S.SQL VarChar 编码器...
SQLKeywordCapsRandomizer	&R.SQL 关键字大小写随机变换器...
DeclareExec	&D.将SQL语句编码为Declare_Exec的形式...

//Advanced Tools	
AdvancedTools	&A.高级工具
Looper	&L.自动循环机...
RequestRelayServer	&R.请求转发器...
ViewSQLOutput	&V.查看SQL输出窗口...

//Tools	
Tools	&T.工具
IPDomainReverseLookup	&I.IP域名反查...
ASPEvalClient	&A.ASP一句话木马客户端...

//Settings	
Settings	&S.设置
ConfigMySQLServerTransfer	&C.配置我的SQLServer转发服务器...
ProgramSettings	&P.程序设置...

//Skins	
Skins	&K.皮肤
RemoveSkin	&R.移除皮肤
CurrentSkin	&C.当前皮肤:

//Languages	
Languages	&L.界面语言
TranslatorInfo	&T.翻译者信息...

//Help	
Help	&H.帮助
OnlineTut	&O.在线教程...
HowToConfigMySQLServerTransfer	&H.如何配置基于我的SQLServer服务器转发...
Contents	&C.内容...
ViewMyRegCode	&V.查看我的注册码...
About	&A.关于...
Test	&T.测试...

//Context menu of Vulnerabilities list	
Copy	&C.复制
Delete	&D.删除
ViewCachedData	&V.查看缓存的数据...
DeleteCachedData	&R.删除缓存的数据
BrowseInAbove	&A.在上面的窗口打开
BrowseWithIE	&I.在IE中打开...
SaveList	&S.保存列表...
LoadList	&L.载入列表...
GenerateWebReport	&G.生成HTML报表...
TerminateAllScanningThreads	&T.终止所有扫描线程

//Main Window Controls	
Go	去
Stop	停
Refresh	刷新
